,Unnamed: 0,links,names,ratings,price for one,cuisine,no of cisine,delivery time,location,outlets,home_delivery,takeaway_available,vegetarian_only,indoor_seating
48,48,https://www.zomato.com/hyderabad/tipsy-topsy-bakery-saroor-nagar,Tipsy Topsy Bakery,3.9,₹250 for one,"Bakery, Burger, Rolls, Pizza, Fast Food, Chinese",6,41 min,"Saroor Nagar, Hyderabad",13,yes,yes,no,yes
49,49,https://www.zomato.com/hyderabad/mohammedia-shawarma-saroor-nagar,Mohammedia Shawarma,3.8,₹250 for one,"Shawarma, Fast Food",2,48 min,"Saroor Nagar, Hyderabad",32,yes,yes,no,no
50,50,https://www.zomato.com/hyderabad/hilton-restaurant-khairatabad,Hilton Restaurant,4.1,₹250 for one,"Biryani, North Indian, Chinese, Mughlai, Seafood, Desserts",6,55 min,"Khairatabad, Hyderabad",0,yes,yes,no,yes
51,51,https://www.zomato.com/hyderabad/kwality-walls-frozen-dessert-and-ice-cream-shop-ghansi-bazaar,Kwality Wall’s Frozen Dessert and Ice Cream Shop,4.3,₹250 for one,"Ice Cream, Desserts",2,35 min,"Ghansi Bazaar, Hyderabad",116,yes,no,yes,no
52,52,https://www.zomato.com/hyderabad/airport-bawarchi-restaurant-chandrayanagutta,Airport Bawarchi Restaurant,4.1,₹250 for one,"North Indian, Chinese, Mughlai, Biryani",4,39 min,"Chandrayanagutta, Hyderabad",2,yes,yes,no,yes
53,53,https://www.zomato.com/hyderabad/haldirams-restaurant-malakpet,Haldiram's Restaurant,4.2,₹250 for one,"South Indian, North Indian",2,41 min,"Malakpet, Hyderabad",14,yes,yes,yes,no
54,54,https://www.zomato.com/hyderabad/chickpet-donne-biryani-house-3-dilsukhnagar,Chickpet Donne Biryani House,3.7,₹250 for one,"Biryani, North Indian",2,52 min,"Dilsukhnagar, Hyderabad",14,yes,yes,no,yes
55,55,https://www.zomato.com/hyderabad/balaji-santosh-dhaba-1-dilsukhnagar,Balaji Santosh Dhaba,4.1,₹250 for one,"Chinese, North Indian, Biryani, Ice Cream, Beverages",5,48 min,"Dilsukhnagar, Hyderabad",12,yes,yes,yes,yes
56,56,https://www.zomato.com/hyderabad/sri-abhiruchi-biryani-chinese-fast-food-dilsukhnagar,Sri Abhiruchi Biryani & Chinese Fast Food,4.2,₹250 for one,"Biryani, Chinese, Seafood, North Indian, Hyderabadi, Sichuan",6,45 min,"Dilsukhnagar, Hyderabad",0,yes,yes,no,yes
57,57,https://www.zomato.com/hyderabad/varalakshmi-tiffins-2-dilsukhnagar,Varalakshmi Tiffins,4.4,₹100 for one,South Indian,1,38 min,"Dilsukhnagar, Hyderabad",9,yes,yes,yes,yes
58,58,https://www.zomato.com/hyderabad/subway-malakpet,Subway,3.8,₹100 for one,"Healthy Food, Fast Food, Sandwich, Salad, Wraps, Beverages",6,45 min,"Malakpet, Hyderabad",46,yes,yes,no,yes
59,59,https://www.zomato.com/hyderabad/natural-ice-cream-malakpet,Natural Ice Cream,4.5,₹100 for one,"Ice Cream, Desserts",2,44 min,"Malakpet, Hyderabad",19,no,no,yes,no
60,60,https://www.zomato.com/hyderabad/lassi-shop-4-malakpet,Lassi Shop,4.1,₹100 for one,"Ice Cream, Beverages, Shake, Desserts",4,37 min,"Malakpet, Hyderabad",61,yes,yes,yes,no
61,61,https://www.zomato.com/hyderabad/zomoz-the-momo-company-mehdipatnam,Zomoz - The Momo Company,4.2,₹100 for one,"Momos, Chinese, Fast Food",3,66 min,"Mehdipatnam, Hyderabad",29,no,no,no,no
62,62,https://www.zomato.com/hyderabad/hotel-sri-raghavendra-udupi-veg-1-saroor-nagar,Hotel Sri Raghavendra Udupi Veg,3.9,₹100 for one,"South Indian, Chinese, North Indian, Sichuan, Desserts, Juices, Beverages",7,41 min,"Saroor Nagar, Hyderabad",10,yes,yes,yes,no
